n_estimators,tree_depth,min_samples_split,max_features,Accuracy
5,16,2,12,0.881795
5,16,2,16,0.882051
5,16,5,2,0.56
5,16,5,4,0.780513
5,16,5,8,0.858205
5,16,5,10,0.867949
5,16,5,12,0.88359
5,16,5,16,0.878205
5,16,10,2,0.601282
5,16,10,4,0.761282
5,16,10,8,0.858974
5,16,10,10,0.872564
5,16,10,12,0.870769
5,16,10,16,0.874872
5,16,15,2,0.593846
5,16,15,4,0.763077
5,16,15,8,0.853077
5,16,15,10,0.861538
5,16,15,12,0.866154
5,16,15,16,0.870769
5,16,20,2,0.569744
5,16,20,4,0.775641
5,16,20,8,0.857436
5,16,20,10,0.864359
5,16,20,12,0.868974
5,16,20,16,0.870256
5,16,25,2,0.588718
5,16,25,4,0.778974
5,16,25,8,0.844872
5,16,25,10,0.865385
5,16,25,12,0.865128
5,16,25,16,0.867949
5,16,30,2,0.613077
5,16,30,4,0.768205
5,16,30,8,0.845897
5,16,30,10,0.86359
5,16,30,12,0.858974
5,16,30,16,0.86359
5,20,2,2,0.565641
5,20,2,4,0.772821
5,20,2,8,0.868462
5,20,2,10,0.876154
5,20,2,12,0.881282
5,20,2,16,0.880256
5,20,5,2,0.573333
5,20,5,4,0.750769
5,20,5,8,0.865385
5,20,5,10,0.861795
5,20,5,12,0.878205
5,20,5,16,0.878974
5,20,10,2,0.593846
5,20,10,4,0.768462
5,20,10,8,0.852821
5,20,10,10,0.867949
5,20,10,12,0.87641
5,20,10,16,0.873846
5,20,15,2,0.613077
5,20,15,4,0.79
5,20,15,8,0.857692
5,20,15,10,0.860769
5,20,15,12,0.869487
5,20,15,16,0.876667
5,20,20,2,0.612821
5,20,20,4,0.778718
5,20,20,8,0.852308
5,20,20,10,0.866923
5,20,20,12,0.867179
5,20,20,16,0.86641
5,20,25,2,0.583333
5,20,25,4,0.784359
5,20,25,8,0.846923
5,20,25,10,0.86359
5,20,25,12,0.864359
5,20,25,16,0.87359
5,20,30,2,0.568462
5,20,30,4,0.751538
5,20,30,8,0.842821
5,20,30,10,0.85359
5,20,30,12,0.862564
5,20,30,16,0.871538
10,20,2,2,0.671538
10,20,2,4,0.820513
10,20,2,8,0.884103
10,20,2,10,0.89359
10,20,2,12,0.889487
10,20,2,16,0.88641
10,20,5,2,0.667436
10,20,5,4,0.828974
10,20,5,8,0.886667
10,20,5,10,0.887179
10,20,5,12,0.891282
10,20,5,16,0.885897
10,20,10,2,0.647949
10,20,10,4,0.828205
10,20,10,8,0.886667
10,20,10,10,0.875128
10,20,10,12,0.887949
10,20,10,16,0.889487
10,20,15,2,0.687179
10,20,15,4,0.832564
10,20,15,8,0.886154
10,20,15,10,0.884615
10,20,15,12,0.887179
10,20,15,16,0.881538
10,20,20,2,0.674359
10,20,20,4,0.832564
10,20,20,8,0.878718
10,20,20,10,0.882564
10,20,20,12,0.888718
10,20,20,16,0.888462
10,20,25,2,0.641795
10,20,25,4,0.831026
10,20,25,8,0.872308
10,20,25,10,0.88
10,20,25,12,0.878462
10,20,25,16,0.875897
10,20,30,2,0.677179
10,20,30,4,0.823077
10,20,30,8,0.871795
10,20,30,10,0.884359
10,20,30,12,0.884872
10,20,30,16,0.880769
15,4,2,2,0.669231
15,4,2,4,0.749231
15,4,2,8,0.765641
15,4,2,10,0.744872
15,4,2,12,0.730769
15,4,2,16,0.682821
15,4,5,2,0.667179
15,4,5,4,0.738718
15,4,5,8,0.754872
15,4,5,10,0.764103
15,4,5,12,0.721026
15,4,5,16,0.676154
15,4,10,2,0.674615
15,4,10,4,0.736667
15,4,10,8,0.760769
15,4,10,10,0.744615
15,4,10,12,0.74
15,4,10,16,0.67641
15,4,15,2,0.662821
15,4,15,4,0.759487
15,4,15,8,0.772051
15,4,15,10,0.748205
15,4,15,12,0.733333
15,4,15,16,0.674359
15,4,20,2,0.640769
15,4,20,4,0.735897
15,4,20,8,0.763077
15,4,20,10,0.747949
15,4,20,12,0.73
15,4,20,16,0.669744
15,4,25,2,0.683077
15,4,25,4,0.749744
15,4,25,8,0.745641
15,4,25,10,0.751282
15,4,25,12,0.721538
15,4,25,16,0.677692
15,4,30,2,0.67641
15,4,30,4,0.745641
15,4,30,8,0.758718
15,4,30,10,0.760513
15,4,30,12,0.724615
15,4,30,16,0.67359
15,8,2,2,0.707179
15,8,2,4,0.83
15,8,2,8,0.869231
15,8,2,10,0.872821
15,8,2,12,0.872308
15,8,2,16,0.863846
15,8,5,2,0.700769
15,8,5,4,0.84
