n_estimators,tree_depth,min_samples_split,max_features,Accuracy
5,12,25,16,0.918205
5,12,30,2,0.610256
5,12,30,4,0.825128
5,12,30,8,0.901282
5,12,30,10,0.908462
5,12,30,12,0.913333
5,12,30,16,0.906154
5,16,2,2,0.636154
5,16,2,4,0.821026
5,16,2,8,0.928718
5,16,2,10,0.943333
5,16,2,12,0.943333
5,16,2,16,0.94359
5,16,5,2,0.588974
5,16,5,4,0.822564
5,16,5,8,0.924359
5,16,5,10,0.936154
5,16,5,12,0.945128
5,16,5,16,0.947692
5,16,10,2,0.618974
5,16,10,4,0.824872
5,16,10,8,0.914359
5,16,10,10,0.934615
5,16,10,12,0.94
5,16,10,16,0.941538
5,16,15,2,0.587949
5,16,15,4,0.817436
5,16,15,8,0.920256
5,16,15,10,0.931026
5,16,15,12,0.934359
5,16,15,16,0.936667
5,16,20,2,0.61
5,16,20,4,0.821282
5,16,20,8,0.912564
5,16,20,10,0.924359
5,16,20,12,0.933333
5,16,20,16,0.928974
5,16,25,2,0.592308
5,16,25,4,0.799231
5,16,25,8,0.909231
5,16,25,10,0.915897
5,16,25,12,0.922821
5,16,25,16,0.933077
5,16,30,2,0.596923
5,16,30,4,0.822821
5,16,30,8,0.901026
5,16,30,10,0.91
5,16,30,12,0.920256
5,16,30,16,0.918205
5,20,2,2,0.617179
5,20,2,4,0.811538
5,20,2,8,0.925128
5,20,2,10,0.941026
5,20,2,12,0.950513
5,20,2,16,0.950513
5,20,5,2,0.605897
5,20,5,4,0.821795
5,20,5,8,0.935128
5,20,5,10,0.934359
5,20,5,12,0.945385
5,20,5,16,0.943077
5,20,10,2,0.627179
5,20,10,4,0.818205
5,20,10,8,0.924872
5,20,10,10,0.935897
5,20,10,12,0.938462
5,20,10,16,0.934872
5,20,15,2,0.572564
5,20,15,4,0.823077
5,20,15,8,0.904615
5,20,15,10,0.922821
5,20,15,12,0.930256
5,20,15,16,0.932564
5,20,20,2,0.561026
5,20,20,4,0.792051
5,20,20,8,0.908462
5,20,20,10,0.920769
5,20,20,12,0.926923
5,20,20,16,0.928974
5,20,25,2,0.582051
5,20,25,4,0.794103
5,20,25,8,0.912051
5,20,25,10,0.910513
5,20,25,12,0.918974
5,20,25,16,0.927692
5,20,30,2,0.621282
5,20,30,4,0.787436
5,20,30,8,0.904872
5,20,30,10,0.914359
5,20,30,12,0.921026
5,20,30,16,0.918462
10,4,2,2,0.647436
10,4,2,4,0.725897
10,4,2,8,0.749744
10,4,2,10,0.736923
10,4,2,12,0.70641
10,4,2,16,0.671026
10,4,5,2,0.645897
10,4,5,4,0.716923
10,4,5,8,0.735641
10,4,5,10,0.727949
10,4,5,12,0.71641
10,4,5,16,0.655897
10,4,10,2,0.618205
10,4,10,4,0.714872
10,4,10,8,0.728462
10,12,25,2,0.7
10,12,25,4,0.870513
10,12,25,8,0.941538
10,12,25,10,0.945641
10,12,25,12,0.948205
10,12,25,16,0.921538
10,12,30,2,0.69
10,12,30,4,0.873846
10,12,30,8,0.928718
10,12,30,10,0.931538
10,12,30,12,0.931282
10,12,30,16,0.928974
10,16,25,2,0.674103
10,16,25,4,0.862564
10,16,25,8,0.937436
10,16,25,10,0.941282
10,16,25,12,0.947179
10,16,25,16,0.932051
